DATE,CSUSHPISA
1987-01-01,63.964
1987-02-01,64.423
1987-03-01,64.734
1987-04-01,65.132
1987-05-01,65.566
1987-06-01,66.073
1987-07-01,66.507
1987-08-01,66.936
1987-09-01,67.328
1987-10-01,67.737
1987-11-01,68.106
1987-12-01,68.505
1988-01-01,68.858
1988-02-01,69.262
1988-03-01,69.636
1988-04-01,69.973
1988-05-01,70.424
1988-06-01,70.887
1988-07-01,71.353
1988-08-01,71.799
1988-09-01,72.241
1988-10-01,72.636
1988-11-01,73.073
1988-12-01,73.465
1989-01-01,73.946
1989-02-01,74.382
1989-03-01,74.778
1989-04-01,75.084
1989-05-01,75.307
1989-06-01,75.48
1989-07-01,75.657
1989-08-01,75.835
1989-09-01,76.057
1989-10-01,76.285
1989-11-01,76.523
1989-12-01,76.706
1990-01-01,76.897
1990-02-01,77.053
1990-03-01,77.2
1990-04-01,77.277
1990-05-01,77.296
1990-06-01,77.257
1990-07-01,77.137
1990-08-01,77.007
1990-09-01,76.848
1990-10-01,76.698
1990-11-01,76.369
1990-12-01,76.182
1991-01-01,75.914
1991-02-01,75.733
1991-03-01,75.568
1991-04-01,75.563
1991-05-01,75.764
1991-06-01,75.992
1991-07-01,76.08
1991-08-01,76.108
1991-09-01,76.193
1991-10-01,76.072
1991-11-01,76.014
1991-12-01,76.056
1992-01-01,76.086
1992-02-01,76.155
1992-03-01,76.276
1992-04-01,76.345
1992-05-01,76.398
1992-06-01,76.332
1992-07-01,76.264
1992-08-01,76.231
1992-09-01,76.239
1992-10-01,76.376
1992-11-01,76.559
1992-12-01,76.673
1993-01-01,76.784
1993-02-01,76.837
1993-03-01,76.868
1993-04-01,76.936
1993-05-01,77.038
1993-06-01,77.242
1993-07-01,77.429
1993-08-01,77.613
1993-09-01,77.794
1993-10-01,77.941
1993-11-01,78.148
1993-12-01,78.326
1994-01-01,78.591
1994-02-01,78.727
1994-03-01,78.856
1994-04-01,78.988
1994-05-01,79.222
1994-06-01,79.424
1994-07-01,79.595
1994-08-01,79.781
1994-09-01,79.919
1994-10-01,80.065
1994-11-01,80.15
1994-12-01,80.296
1995-01-01,80.427
1995-02-01,80.529
1995-03-01,80.599
1995-04-01,80.662
1995-05-01,80.704
1995-06-01,80.785
1995-07-01,80.937
1995-08-01,81.111
1995-09-01,81.307
1995-10-01,81.483
1995-11-01,81.62
1995-12-01,81.737
1996-01-01,81.835
1996-02-01,81.954
1996-03-01,82.194
1996-04-01,82.421
1996-05-01,82.61
1996-06-01,82.752
1996-07-01,82.929
1996-08-01,83.088
1996-09-01,83.258
1996-10-01,83.378
1996-11-01,83.553
1996-12-01,83.722
1997-01-01,83.956
1997-02-01,84.181
1997-03-01,84.452
1997-04-01,84.623
1997-05-01,84.862
1997-06-01,85.08
1997-07-01,85.332
1997-08-01,85.573
1997-09-01,85.85
1997-10-01,86.147
1997-11-01,86.633
1997-12-01,87.093
1998-01-01,87.616
1998-02-01,88.004
1998-03-01,88.443
1998-04-01,88.879
1998-05-01,89.364
1998-06-01,89.845
1998-07-01,90.31
1998-08-01,90.786
1998-09-01,91.259
1998-10-01,91.718
1998-11-01,92.2
1998-12-01,92.713
1999-01-01,93.208
1999-02-01,93.671
1999-03-01,94.217
1999-04-01,94.785
1999-05-01,95.345
1999-06-01,95.976
1999-07-01,96.593
1999-08-01,97.221
1999-09-01,97.865
1999-10-01,98.526
1999-11-01,99.157
1999-12-01,99.847
2000-01-01,100.552
2000-02-01,101.339
2000-03-01,102.127
2000-04-01,102.922
2000-05-01,103.677
2000-06-01,104.424
2000-07-01,105.054
2000-08-01,105.767
2000-09-01,106.537
2000-10-01,107.381
2000-11-01,108.3
2000-12-01,109.139
2001-01-01,109.845
2001-02-01,110.499
2001-03-01,111.107
2001-04-01,111.65
2001-05-01,112.162
2001-06-01,112.795
2001-07-01,113.491
2001-08-01,114.167
2001-09-01,114.811
2001-10-01,115.308
2001-11-01,115.854
2001-12-01,116.453
2002-01-01,117.143
2002-02-01,117.845
2002-03-01,118.688
2002-04-01,119.611
2002-05-01,120.724
2002-06-01,121.812
2002-07-01,122.886
2002-08-01,123.829
2002-09-01,124.779
2002-10-01,125.733
2002-11-01,126.668
2002-12-01,127.622
2003-01-01,128.46
2003-02-01,129.355
2003-03-01,130.147
2003-04-01,130.885
2003-05-01,131.735
2003-06-01,132.649
2003-07-01,133.776
2003-08-01,134.967
2003-09-01,136.294
2003-10-01,137.532
2003-11-01,138.794
2003-12-01,140.18
2004-01-01,141.647
2004-02-01,143.193
2004-03-01,145.059
2004-04-01,146.591
2004-05-01,148.184
2004-06-01,149.849
2004-07-01,151.337
2004-08-01,152.633
2004-09-01,154.178
2004-10-01,155.751
2004-11-01,157.528
2004-12-01,159.33
2005-01-01,161.289
2005-02-01,163.344
2005-03-01,165.813
2005-04-01,167.502
2005-05-01,169.352
